NUMN =   8192 , USE_MUTEX = false , NumPopErrors =  3188 =  38.92% , Elapsed time =    478.40 microseconds
NUMN =   8192 , USE_MUTEX = false , NumPopErrors =  4181 =  51.04% , Elapsed time = 250562.32 microseconds
NUMN =   8192 , USE_MUTEX = false , NumPopErrors =  2966 =  36.21% , Elapsed time =    818.53 microseconds
NUMN =   8192 , USE_MUTEX = false , NumPopErrors =  1764 =  21.53% , Elapsed time =    520.29 microseconds
NUMN =  16384 , USE_MUTEX =  true , NumPopErrors =     0 =   0.00% , Elapsed time =   5151.89 microseconds
NUMN =  16384 , USE_MUTEX =  true , NumPopErrors =     0 =   0.00% , Elapsed time =   3924.64 microseconds
NUMN =  16384 , USE_MUTEX =  true , NumPopErrors =     0 =   0.00% , Elapsed time =   1999.61 microseconds
NUMN =  16384 , USE_MUTEX =  true , NumPopErrors =     0 =   0.00% , Elapsed time =   2111.81 microseconds
NUMN =  16384 , USE_MUTEX =  true , NumPopErrors =     0 =   0.00% , Elapsed time =   4561.28 microseconds
NUMN =  16384 , USE_MUTEX = false , NumPopErrors =  3963 =  24.19% , Elapsed time =    966.52 microseconds
NUMN =  16384 , USE_MUTEX = false , NumPopErrors =  4151 =  25.34% , Elapsed time =    710.76 microseconds
NUMN =  16384 , USE_MUTEX = false , NumPopErrors =  4230 =  25.82% , Elapsed time =    973.57 microseconds
NUMN =  16384 , USE_MUTEX = false , NumPopErrors =  6696 =  40.87% , Elapsed time =    714.77 microseconds
NUMN =  16384 , USE_MUTEX = false , NumPopErrors =  4289 =  26.18% , Elapsed time =    914.34 microseconds
NUMN =  16384 , USE_MUTEX = false , NumPopErrors =  3668 =  22.39% , Elapsed time =    940.24 microseconds
NUMN =  16384 , USE_MUTEX = false , NumPopErrors =  5458 =  33.31% , Elapsed time =    851.70 microseconds
NUMN =  16384 , USE_MUTEX = false , NumPopErrors =  5865 =  35.80% , Elapsed time =    835.18 microseconds
NUMN =  16384 , USE_MUTEX = false , NumPopErrors =  4294 =  26.21% , Elapsed time =    913.40 microseconds
NUMN =  16384 , USE_MUTEX = false , NumPopErrors =  3856 =  23.54% , Elapsed time =    957.95 microseconds
NUMN =  32768 , USE_MUTEX =  true , NumPopErrors =     0 =   0.00% , Elapsed time =   4101.09 microseconds
NUMN =  32768 , USE_MUTEX =  true , NumPopErrors =     0 =   0.00% , Elapsed time =   4992.40 microseconds
NUMN =  32768 , USE_MUTEX =  true , NumPopErrors =     0 =   0.00% , Elapsed time =   5008.04 microseconds
NUMN =  32768 , USE_MUTEX =  true , NumPopErrors =     0 =   0.00% , Elapsed time =   3722.14 microseconds
NUMN =  32768 , USE_MUTEX =  true , NumPopErrors =     0 =   0.00% , Elapsed time =   9497.57 microseconds
NUMN =  32768 , USE_MUTEX = false , NumPopErrors =  9485 =  28.95% , Elapsed time =   1272.22 microseconds
NUMN =  32768 , USE_MUTEX = false , NumPopErrors =  9389 =  28.65% , Elapsed time =   1725.21 microseconds
NUMN =  32768 , USE_MUTEX = false , NumPopErrors =  9443 =  28.82% , Elapsed time =   3063.87 microseconds
NUMN =  32768 , USE_MUTEX = false , NumPopErrors = 10413 =  31.78% , Elapsed time =   1658.31 microseconds
NUMN =  32768 , USE_MUTEX = false , NumPopErrors =  9359 =  28.56% , Elapsed time =   1798.95 microseconds
NUMN =  32768 , USE_MUTEX = false , NumPopErrors =  7629 =  23.28% , Elapsed time =   1868.20 microseconds
NUMN =  32768 , USE_MUTEX = false , NumPopErrors =  7480 =  22.83% , Elapsed time =   1987.95 microseconds
NUMN =  32768 , USE_MUTEX = false , NumPopErrors =  7262 =  22.16% , Elapsed time =   1179.15 microseconds
NUMN =  32768 , USE_MUTEX = false , NumPopErrors =  9018 =  27.52% , Elapsed time =   1972.74 microseconds
NUMN =  32768 , USE_MUTEX = false , NumPopErrors = 11530 =  35.19% , Elapsed time =   3147.30 microseconds
