
   16384 ,      1 ,      28.51
   16384 ,      4 ,      38.83
   16384 ,     16 ,      42.70
   16384 ,     64 ,      44.72
   16384 ,    256 ,      43.48
   65536 ,      1 ,     102.53
   65536 ,      4 ,     226.82
   65536 ,     16 ,     319.36
   65536 ,     64 ,     347.47
   65536 ,    256 ,     347.21
  262144 ,      1 ,     279.01
  262144 ,      4 ,     857.77
  262144 ,     16 ,    1606.24
  262144 ,     64 ,    2421.82
  262144 ,    256 ,    2621.99
 1048576 ,      1 ,     546.46
 1048576 ,      4 ,    1620.49
 1048576 ,     16 ,    3113.73
 1048576 ,     64 ,    4226.50
 1048576 ,    256 ,    4445.99
 4194304 ,      1 ,    1195.25
 4194304 ,      4 ,    3899.05
 4194304 ,     16 ,   12687.07
 4194304 ,     64 ,   23870.94
 4194304 ,    256 ,   27354.77
16777216 ,      1 ,    2443.35
16777216 ,      4 ,    9461.70
16777216 ,     16 ,   32999.04
16777216 ,     64 ,   90647.73
16777216 ,    256 ,   97418.32
